FF AEROKNIT D-40637-61	AEROKNIT D	AU3426H	40637	2.8665105386416863	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF ANMUT-C-NA-40487-66	ANMUT-C-NA	ANMUT-C	40487	2.6493506493506493	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ANMUT-C-NA-40488-66	ANMUT-C-NA	ANMUT-C	40488	2.6493506493506493	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF ARCTIC-39811-61	ARCTIC	AU5429D	39811	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTIC-39811-68	ARCTIC	AU5429D	39811	2.666666666666666	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTIC-39811-73	ARCTIC	AU5429D	39811	2.4840182648401825	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTIC-39821-61	ARCTIC	AU5429D	39821	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF ARCTIC-39821-63	ARCTIC	AU5429D	39821	2.878306878306878	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF ARCTIC-40415-68	ARCTIC	AU5429D	40415	2.666666666666666	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTIC-40415-73	ARCTIC	AU5429D	40415	2.4840182648401825	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTIC-40416-73	ARCTIC	AU5429D	40416	2.4840182648401825	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTIC-40506-56	ARCTIC	AU5429H	40506	3.2380952380952377	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF ARCTIC-40506-63	ARCTIC	AU5429D	40506	2.878306878306878	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF ARCTIC-40511-63	ARCTIC	AU5429D	40511	2.878306878306878	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF ARCTIC-40599-62	ARCTIC	AU5429D	40599	2.924731183	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF ARCTIC-41079-62	ARCTIC	AU5429D	41079	2.9247311827956985	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTIC-41079-65	ARCTIC	AU5429D	41079	2.7897435897435896	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTICP-39885-61	ARCTICP	AU5429D	39885	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTICP-40937-61	ARCTICP	AU5429D	40937	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTICP-40938-61	ARCTICP	AU5429D	40938	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTICP-41146-61	ARCTICP	AU5429D	41146	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF ARCTICP-41147-61	ARCTICP	AU5429D	41147	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF ARCTICP-41365-61	ARCTICP	AU5429D	41365	2.972677595628415	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426M-38840-62	AU3426M	AU3426 WIDE	38840	2.632258064516129	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426M-38840-64	AU3426M	AU3426 WIDE	38840	2.55	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426M-38840-73	AU3426M	AU3426	38840	2.2356164383561645	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426M-39858-62	AU3426M	AU3426 WIDE	39858	2.632258064516129	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426M-39858-64	AU3426M	AU3426 WIDE	39858	2.55	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426M-39858-72	AU3426M	AU3426	39858	2.2666666666666666	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426MSS-38840-53	AU3426MSS	AU3426	38840	3.0792452830188677	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AU3426MSS-39858-53	AU3426MSS	AU3426	39858	3.0792452830188677	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA-34704-68	AURA	AU2958A	34704	2.4	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA-39064-68	AURA	AU2958A	39064	2.4	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-34704-68	AURA30000	AU2958A	34704	2.4	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38697-63	AURA30000	AU2958G	38697	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38697-67	AURA30000	AU2958A	38697	2.435820895522388	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38697-70	AURA30000	AU2958A	38697	2.3314285714285714	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38698-63	AURA30000	AU2958G	38698	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38698-68	AURA30000	AU2958A	38698	2.4	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38698-70	AURA30000	AU2958A	38698	2.3314285714285714	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
